driverId,week,hours-logged,miles-logged
84,42,58,3400
76,1,74,3500
108,48,51,3300
35,24,54,2000
100,28,68,2000
100,14,58,1500
39,18,63,500
95,4,56,300
102,7,57,900
46,6,71,1700
100,3,58,1200
57,38,61,100
11,1,53,4000
105,24,58,1800
19,47,76,2000
83,40,61,3500
43,43,64,3700
58,43,76,1000
91,45,56,1000
16,33,63,2600
71,51,52,2600
34,17,74,4000
100,25,57,1400
35,51,61,2400
52,52,74,1100
66,11,71,2500
83,18,53,900
29,50,78,300
54,48,54,1600
93,29,65,200
92,9,58,2800
68,31,50,900
41,48,75,400
74,47,56,1300
21,6,60,300
105,5,72,1800
36,22,71,3500
90,28,50,3400
90,12,59,3300
54,40,60,3500
96,20,58,400
76,33,79,300
88,46,55,2500
34,12,79,2800
46,43,56,2200
85,30,67,3200
80,6,57,3500
54,44,55,700
79,5,65,500
39,39,77,300
80,11,78,2200
20,40,54,800
80,5,74,2800
106,2,70,2100
28,5,52,2100
31,43,52,2800
18,38,78,1700
57,38,73,1700
37,30,72,3900
89,30,51,3700
52,26,61,2000
80,13,52,400
70,30,67,1900
68,43,51,300
76,9,56,100
27,4,76,900
53,23,51,2000
42,22,74,3500
68,46,57,900
14,43,62,4000
65,36,77,1000
75,8,53,4000
74,6,52,100
97,40,68,500
43,37,61,0
73,33,56,1400
66,42,60,700
102,27,79,2800
95,32,58,3600
55,18,56,700
55,35,76,3600
21,30,77,1500
46,36,79,3200
96,26,70,1900
87,8,71,900
43,48,73,0
13,30,80,0
50,50,61,3900
13,23,54,1400
13,8,74,3800
66,52,68,2500
22,39,68,1500
19,46,50,700
12,26,78,2000
36,16,54,600
105,17,56,3900
52,32,56,4000
22,49,79,3500
25,44,61,100
92,41,58,3600
28,10,71,1400
10,17,63,2200
53,4,65,900
44,32,51,2000
85,37,50,200
32,12,76,3800
33,1,72,100
47,48,65,700
63,47,60,1900
105,47,73,2600
62,32,80,100
33,2,51,1000
60,36,53,900
21,16,70,4000
63,19,65,4000
98,44,79,1500
10,21,72,1000
82,6,53,0
71,19,68,1100
25,35,75,800
11,20,50,1300
23,51,63,3600
100,40,72,1500
32,49,71,2400
35,10,58,1700
46,10,65,2600
24,38,77,2200
34,3,78,3900
98,20,80,2000
100,40,52,2600
100,11,64,1000
81,45,56,4000
37,41,50,3300
10,50,69,1600
12,38,72,900
102,23,71,300
104,44,62,3200
41,41,72,1100
89,23,54,3100
31,35,79,700
58,50,55,3900
10,17,79,3400
44,47,51,2900
28,47,65,2200
104,35,54,3800
34,31,67,2400
57,24,55,300
107,16,77,1700
46,1,72,2600
78,13,65,1100
78,18,71,1200
61,20,80,1100
96,26,55,1900
24,36,75,200
20,51,62,0
101,43,61,400
28,45,78,3700
103,9,68,3100
71,29,69,2200
44,32,56,2300
37,49,70,1200
20,39,73,0
68,9,59,3200
90,13,77,400
46,42,64,3300
30,26,51,1500
27,25,63,900
69,43,64,3900
22,46,74,100
25,36,72,1700
24,14,54,3800
50,30,66,3700
70,14,78,800
57,23,78,1200
23,14,71,3700
71,31,56,2000
88,1,58,800
90,46,64,1300
57,10,60,300
60,36,74,3700
80,49,67,4000
47,29,50,2700
12,3,50,2000
12,43,78,3100
53,31,70,3800
94,21,67,2500
92,24,51,2900
88,47,57,1400
16,4,70,3500
108,41,64,1400
51,32,68,2800
76,22,69,2200
98,45,52,2100
48,20,73,3900
60,34,57,600
93,28,71,800
36,47,54,300
45,10,67,200
49,51,52,2100
50,4,59,3500
63,49,73,1400
10,26,67,100
74,51,53,3400
107,10,66,3100
72,39,66,800
32,41,71,2200
71,7,67,2300
53,49,64,3500
92,14,60,700
14,17,80,2000
99,15,64,500
95,44,70,3400
45,6,52,2200
58,39,61,3300
106,49,59,2100
83,51,59,2600
46,45,52,500
83,13,57,200
101,30,77,1200
97,36,76,2100
